Patient,Model,Dipole,Dist_mm,Angle_deg,Residual_Variance,Is_Grid,Grid_eq_Source,Total_AMR_steps
110411,swiss7,dip1,3.95193028028691,4.24507058678578,0.0003874766433804,1,1,7
110411,swiss7,dip2,3.02558058668709,9.15388134190349,0.0004564216034697,0,1,2
110411,swiss7,dip3,3.05380649874594,8.16064259253264,0.0005611886297619,0,1,7
110411,swiss7,dip4,2.66178945827345,8.74507772772744,0.0017808254713368,0,1,6
110411,german7,dip1,5.89037230535038,15.4947720550002,0.000315441856639,1,1,11
110411,german7,dip2,4.15102150392867,14.9476437218302,0.0004915222333383,1,1,4
110411,german7,dip3,3.78619274315151,14.0697525379083,0.0007517268251367,0,1,8
110411,german7,dip4,4.30558995775215,16.5902018939723,0.0030567705549563,1,1,6
110411,SimNIBS7,dip1,5.86072854109674,14.4768229073595,0.0003536031571048,0,1,11
110411,SimNIBS7,dip2,4.15775199307712,15.284942284017,0.0004999201138548,1,1,4
110411,SimNIBS7,dip3,3.28975264349877,13.764656745617,0.0008567118488831,1,1,8
110411,SimNIBS7,dip4,4.80760604882951,16.7094177953214,0.0034314403150209,0,1,6
117122,swiss7,dip1,4.31176229659524,10.1533144765577,0.0007311084665194,1,1,4
117122,swiss7,dip2,5.0916411170758,23.0755391151646,0.0014516147254685,0,1,6
117122,swiss7,dip3,1.49551312663888,7.51443891773416,0.0008758003026064,1,1,3
117122,swiss7,dip4,2.43125046882082,7.07042250719294,0.001911363854853,0,1,7
117122,german7,dip1,6.17496938929832,14.7490772256865,0.0005258919353285,1,1,5
117122,german7,dip2,7.68972658986448,31.4754110984477,0.0011943311023341,1,1,7
117122,german7,dip3,1.98294723546487,13.6417642520511,0.001243693009034,0,1,6
117122,german7,dip4,3.24472951390717,14.7699283058665,0.0040395849378173,0,1,8
117122,SimNIBS7,dip1,5.98836412742406,15.7907283045567,0.0004916275978644,0,1,5
117122,SimNIBS7,dip2,7.66612875192685,32.1048941073775,0.0011551187512761,1,1,7
117122,SimNIBS7,dip3,1.62664628472975,13.7948104975317,0.0013446838911406,0,1,7
117122,SimNIBS7,dip4,3.41890041177601,14.7011208701864,0.0046897184414881,1,1,8
120111,swiss7,dip1,2.80714083548963,5.26216225715833,0.000334047565344,0,1,4
120111,swiss7,dip2,3.33188753112439,7.3793824211748,0.0003106763897851,0,1,5
120111,swiss7,dip3,1.77884311994058,4.19626737363076,0.0012095913067131,1,1,4
120111,swiss7,dip4,1.83144278121784,16.2181573336595,0.0011224500649185,1,1,6
120111,german7,dip1,3.89240199758758,10.1855844656133,0.0003356959752102,0,1,7
120111,german7,dip2,4.88430641613716,13.4525445843796,0.0003175795857434,0,1,6
120111,german7,dip3,2.26806953212572,7.45255064246652,0.0014352646632567,0,1,4
120111,german7,dip4,3.41529401507521,45.2032840617901,0.0030145557492104,1,1,6
120111,SimNIBS7,dip1,3.82617500205702,10.0123357847714,0.0003151164070757,1,1,7
120111,SimNIBS7,dip2,4.9756243501269,13.5232597665765,0.0002663245999148,1,1,6
120111,SimNIBS7,dip3,2.14597985336877,10.7963635976835,0.0013122682892685,0,1,5
120111,SimNIBS7,dip4,3.75711427956918,32.3422596200832,0.0042258895951294,1,1,6
122317,swiss7,dip1,3.05780043046905,3.7357357450227,0.0003958612557928,0,1,5
122317,swiss7,dip2,3.26672119197799,7.18000564454182,0.000629037957631,1,1,5
122317,swiss7,dip3,1.94290931553717,10.1343763138224,0.0004776620336258,0,1,3
122317,swiss7,dip4,1.75518501629515,35.6369870299964,0.0011661854709867,1,1,6
122317,german7,dip1,4.04965607270858,8.99725488689469,0.0003079222200634,1,1,6
122317,german7,dip2,5.17460170686162,19.3165867948952,0.000943453479123,0,1,7
122317,german7,dip3,2.94391856919281,20.6177014820582,0.0006462192943159,0,1,3
122317,german7,dip4,4.31749177960575,31.2491533584083,0.0018631987316326,1,1,6
122317,SimNIBS7,dip1,4.12813769647554,8.83824721079525,0.000363606957508,0,1,7
122317,SimNIBS7,dip2,4.86453527466182,18.5299041670691,0.000859689160793,0,1,7
122317,SimNIBS7,dip3,2.90432893487748,20.8773549317736,0.0006855419452339,1,1,3
122317,SimNIBS7,dip4,4.64117734690538,47.3833389457486,0.0022057941296914,0,1,6
122620,swiss7,dip1,4.20935917643569,5.8952186791444,0.0005475498471032,0,1,6
122620,swiss7,dip2,2.75413787064823,5.60989280474484,0.0004660338540842,0,1,2
122620,swiss7,dip3,1.55600361925013,6.57666159618389,0.000989954316187,0,1,3
122620,swiss7,dip4,2.27678616753597,6.83026445973297,0.0005442939389901,0,1,6
122620,german7,dip1,6.48353349948048,6.57660134006317,0.0006307936806437,0,1,2
122620,german7,dip2,3.6913723771254,11.1211268614851,0.0004561410223369,1,1,4
122620,german7,dip3,4.34512229981362,15.3371349325384,0.0005752365883393,0,1,5
122620,german7,dip4,3.21365147198313,10.4206621503993,0.0023912037951808,1,1,9
122620,SimNIBS7,dip1,6.67659240412241,12.1148316151141,0.0002217556923534,0,1,7
122620,SimNIBS7,dip2,3.74304201081844,10.9092098162427,0.000423990925973,1,1,4
122620,SimNIBS7,dip3,4.23492189804448,15.3304894787114,0.0004299372468243,1,1,3
122620,SimNIBS7,dip4,3.16811715813154,12.5266312197901,0.0035087903787043,1,1,9
124422,swiss7,dip1,3.39871190598573,7.29324936030148,0.0002847539382569,0,1,6
124422,swiss7,dip2,3.11662127994663,13.2210912828072,0.0004256743946333,1,1,6
124422,swiss7,dip3,1.53792698682107,10.4186797476679,0.0009128730314218,0,1,4
124422,swiss7,dip4,1.34057405796392,3.45770091115678,0.000199529087204,1,1,7
124422,german7,dip1,5.44013300238517,9.99018841850838,0.0005075262647222,1,1,2
124422,german7,dip2,5.08248878950267,22.8640883322966,0.0003737152063959,0,1,8
124422,german7,dip3,3.80278255386069,27.0931048594747,0.0001995014039396,1,1,4
124422,german7,dip4,1.4166095548265,8.50988599724502,0.0006914932090386,0,1,5
124422,SimNIBS7,dip1,5.28926824921033,11.5774686488817,0.0005193210888112,1,1,2
124422,SimNIBS7,dip2,5.30295863005625,23.2844666718715,0.0003600574728139,0,1,8
124422,SimNIBS7,dip3,4.07308027400886,26.6409501535617,0.0002025045844713,0,1,4
124422,SimNIBS7,dip4,1.502656282252,8.64650917371579,0.0009053951655362,1,1,8
128632,swiss7,dip1,2.29284125489322,9.71290943113113,0.0004367055957158,0,1,5
128632,swiss7,dip2,4.01588939739933,11.0854386727379,0.0004331183899709,1,1,7
128632,swiss7,dip3,1.5265565973011,5.63261516127273,0.0018162984353153,1,1,4
128632,swiss7,dip4,1.51195676231965,6.16400346379523,0.0001805916626403,1,1,6
128632,german7,dip1,3.39968056193584,24.0900102661128,0.0005096818308001,1,1,6
128632,german7,dip2,4.93906251533292,14.630859608657,0.0004696791064648,1,1,9
128632,german7,dip3,2.36670504382517,7.15405279890429,0.0032050539489876,0,1,4
128632,german7,dip4,6.72538037564872,21.1243744981294,0.0003785437844036,1,1,9
128632,SimNIBS7,dip1,3.08012449798159,15.9913023635597,0.0004974833630237,1,1,7
128632,SimNIBS7,dip2,5.05070423278211,15.1646648276981,0.0004524853498203,1,1,10
128632,SimNIBS7,dip3,2.13757532776829,7.12381187616325,0.0030886481960528,0,1,5
128632,SimNIBS7,dip4,7.49776558825218,19.4389141488925,0.0005105766487068,1,1,8
130013,swiss7,dip1,3.11633998322246,7.98334477679975,0.0003610928380955,1,1,2
130013,swiss7,dip2,3.35906007043482,14.4367825935067,0.0005994390409389,0,1,6
130013,swiss7,dip3,0.893918483640147,6.18278375427592,0.001493626162875,1,1,6
130013,swiss7,dip4,2.5060926501742,13.2997311805932,0.0031311842322081,1,1,5
130013,german7,dip1,4.12051713015344,4.40915185410265,0.0003220318612943,0,1,3
130013,german7,dip2,5.20357240753854,26.8574791355105,0.0007291634964936,0,1,7
130013,german7,dip3,1.78276782514494,14.5076518057263,0.0023061554739828,1,1,6
130013,german7,dip4,4.68692375604524,24.7201274114533,0.0072990159553127,0,1,7
130013,SimNIBS7,dip1,4.87231956964379,11.0480714846264,0.000285890773131,1,1,3
130013,SimNIBS7,dip2,5.37450664500934,26.9724187583084,0.0006614684928956,0,1,8
130013,SimNIBS7,dip3,2.3497809735701,13.1996800837711,0.0022573135541338,0,1,6
130013,SimNIBS7,dip4,5.1644585325132,25.0643128681326,0.0079715874132138,0,1,6
131722,swiss7,dip1,3.03217576361804,9.16561746709674,0.0006116715315166,0,1,2
131722,swiss7,dip2,3.51957430816013,6.43989865227208,0.0003722549420067,1,1,3
131722,swiss7,dip3,1.15925176276297,10.6525552560845,0.0009660812891123,1,1,3
131722,swiss7,dip4,4.20194919504039,45.6860179943944,0.0024023765317127,0,1,9
131722,german7,dip1,4.56174878045114,14.9281071802767,0.0009093885648971,0,0,2
131722,german7,dip2,3.6928413771788,11.3023930640529,0.000448552867368,0,1,4
131722,german7,dip3,1.67660196802884,22.2514266908355,0.0007543255472066,1,1,3
131722,german7,dip4,8.12817032656904,35.4970772198437,0.0032470549247241,0,1,8
131722,SimNIBS7,dip1,3.57460446860331,7.27949166901158,0.0008897395802427,0,1,2
131722,SimNIBS7,dip2,3.76332107585024,11.1961898119652,0.0004242212924803,0,1,5
131722,SimNIBS7,dip3,1.69034207576437,21.9079276748411,0.0007348538848298,1,1,4
131722,SimNIBS7,dip4,8.18867713886103,34.4007558882277,0.0033609447134217,1,1,8
138534,swiss7,dip1,4.51375162273833,6.20568008589504,0.0004149664628495,0,1,6
138534,swiss7,dip2,3.98054531222292,5.54184881969073,0.0001981584423537,0,1,6
138534,swiss7,dip3,1.47606465416869,0.361798722343761,0.0008731613586412,0,1,4
138534,swiss7,dip4,1.92947483087309,21.2285294650504,0.0018492303591791,1,1,9
138534,german7,dip1,6.37849282221652,8.96637375141327,0.0005411321302851,1,1,7
138534,german7,dip2,3.72081969404221,4.58191337920275,0.0001743290015828,0,1,6
138534,german7,dip3,2.29498684584498,19.7012776374995,0.0007810922202855,0,1,4
138534,german7,dip4,4.75281348157492,25.2155199342594,0.0038916132851829,0,1,30
138534,SimNIBS7,dip1,6.22016359319734,4.26405657394443,0.0005647826453389,1,1,8
138534,SimNIBS7,dip2,3.79513445903435,4.59195846196579,0.0001757986516719,1,1,6
138534,SimNIBS7,dip3,2.40319877378892,19.6652769437008,0.0008484104474871,0,1,5
138534,SimNIBS7,dip4,4.03125105383186,25.2759634136013,0.0044795521151867,1,1,30
149337,swiss7,dip1,2.5631546882507,9.04087097401582,0.0003947381615316,1,1,6
149337,swiss7,dip2,4.49443402231928,3.81762125419982,0.0004615899354101,0,1,3
149337,swiss7,dip3,1.12191434584951,7.97189747776146,0.000730164259982,0,1,4
149337,swiss7,dip4,2.83991385620876,25.1759212003315,0.0008668552891475,0,1,5
149337,german7,dip1,3.58210605707361,13.7046170391159,0.0003527130820243,1,1,8
149337,german7,dip2,5.28736833529917,0.0583573238362815,0.0002769328457351,0,1,5
149337,german7,dip3,2.21846713694086,21.6755237948802,0.0007381290961728,1,1,4
149337,german7,dip4,4.46268912144806,15.2925152237246,0.0017394268084399,1,1,7
149337,SimNIBS7,dip1,3.67218684103922,17.3766301864922,0.0003445226843127,0,1,8
149337,SimNIBS7,dip2,4.62420909228874,7.42916359979023,0.0002582768670356,0,1,5
149337,SimNIBS7,dip3,2.25208055385647,18.8757740074427,0.0007978961241004,1,1,4
149337,SimNIBS7,dip4,4.69800203386191,18.5303349398277,0.0026970489631092,0,1,8
149539,swiss7,dip1,3.46190583153276,6.94248997599736,0.0003310548225817,0,1,5
149539,swiss7,dip2,2.17058500551095,11.4595495253538,0.0005884610934849,0,1,3
149539,swiss7,dip3,1.45621984769798,7.3614780668722,0.000305138321459,1,1,2
149539,swiss7,dip4,2.84667025963539,5.53832350992332,0.0007855575141155,0,1,6
149539,german7,dip1,4.83142310396612,10.316608276613,0.0003504396478937,0,1,5
