Dipole,Dist-mm,Residual-Variance,
1,12.39329,0.006156,
2,14.44612,0.002743,
3,15.33901,0.004475,
4,17.64396,0.002177,
5,9.900396,0.00469,
6,9.645819,0.003,
7,12.01265,0.002643,
8,17.20135,0.003921,
9,12.94576,0.004229,
10,6.966084,0.004813,
11,10.44156,0.00173,
12,11.68406,0.003185,
13,9.540259,0.004282,
14,14.17727,0.004124,
15,1.841246,0.020122,
16,15.32416,0.012882,
17,11.19142,0.003003,
18,9.329468,0.003269,
19,14.14173,0.005134,
20,7.007305,0.003684,
21,6.613306,0.004024,
22,11.74634,0.006604,
23,14.78798,0.004254,
24,10.06722,0.001748,
25,8.582747,0.002755,
26,6.570353,0.001794,
27,14.28155,0.004567,
28,12.26696,0.001386,
29,8.23348,0.004962,
30,11.33562,0.00504,
31,4.438087,0.004721,
32,15.44323,0.003608,
33,15.96918,0.003873,
34,14.90207,0.003382,
35,10.92051,0.004883,
36,16.52047,0.006499,
37,15.4736,0.003209,
38,11.63348,0.001692,
39,10.52255,0.004736,
40,16.1811,0.003652,
41,1.564771,0.00428,
42,15.25874,0.003757,
43,13.2057,0.004836,
44,15.11693,0.002826,
45,12.53481,0.004955,
46,10.77015,0.006068,
47,13.16251,0.00568,
48,12.3197,0.016696,
49,10.08824,0.002791,
50,10.14844,0.003485,
51,9.926867,0.00314,
52,10.54781,0.003336,
53,9.424815,0.002883,
54,11.79458,0.002586,
55,11.47818,0.009743,
56,11.07674,0.003051,
57,7.849373,0.005429,
58,6.563705,0.005588,
59,12.08783,0.002342,
60,8.466515,0.00274,
61,15.69404,0.006763,
62,12.40238,0.00322,
63,7.568218,0.004062,
64,15.2795,0.003854,
65,14.59167,0.002176,
66,11.58474,0.001548,
67,7.430962,0.003033,
68,8.939384,0.010237,
69,5.407219,0.002633,
70,6.89534,0.003493,
71,8.422906,0.012085,
72,14.00179,0.004319,
73,1.97665,0.005462,
74,5.44361,0.002319,
75,9.80098,0.005168,
76,3.295421,0.002919,
77,14.26706,0.001628,
78,6.893072,0.004313,
79,3.000775,0.007544,
80,5.120999,0.003978,
81,11.12746,0.007273,
82,12.78151,0.003891,
83,6.984288,0.003578,
84,16.36787,0.003583,
85,13.60918,0.005138,
86,7.356353,0.005141,
87,8.295615,0.001751,
88,10.83068,0.004304,
89,4.6412,0.003753,
90,16.29138,0.004634,
91,5.691724,0.002732,
92,4.166559,0.004253,
93,13.55859,0.003528,
94,11.76326,0.007148,
95,9.431725,0.003562,
96,10.73135,0.002703,
97,13.10155,0.002971,
98,6.002138,0.003031,
99,6.906272,0.003856,
100,3.323145,0.004429,
101,9.130628,0.003249,
102,5.224039,0.005787,
103,7.312253,0.004357,
104,15.21802,0.007072,
105,9.77262,0.005455,
106,7.530801,0.001485,
107,99.72009,0.01345,
108,17.43701,0.004573,
109,9.90642,0.003104,
110,2.990944,0.033707,
111,10.82733,0.008093,
112,12.03578,0.004867,
113,14.51607,0.00277,
114,6.779906,0.002816,
115,8.613767,0.002058,
116,14.02132,0.004798,
117,1.476851,0.012273,
118,13.46139,0.005486,
119,9.128004,0.003279,
120,39.72683,0.006479,
121,14.1605,0.004229,
122,5.73059,0.005963,
123,9.49068,0.003895,
124,3.015993,0.005439,
125,1.464714,0.006728,
126,0.51655,0.013963,
127,6.829125,0.003111,
128,10.71943,0.003052,
129,12.91713,0.005122,
130,6.576992,0.005956,
131,7.427156,0.002945,
132,12.15054,0.005229,
133,1.356061,0.041513,
134,7.685449,0.00453,
135,18.69335,0.003932,
136,7.726586,0.003261,
137,3.648651,0.005084,
138,16.33593,0.003141,
139,9.454066,0.004327,
140,8.68693,0.00196,
141,12.83035,0.003514,
142,14.36874,0.003498,
143,11.14792,0.003294,
144,4.899936,0.00327,
145,14.88718,0.006244,
146,3.716813,0.002221,
147,7.622657,0.005661,
148,8.393839,0.00514,
149,2.615887,0.025855,
150,2.736187,0.01959,
151,10.35081,0.004358,
152,8.658775,0.002963,
153,2.397543,0.029614,
154,3.874836,0.003255,
155,6.418437,0.004624,
156,15.01854,0.004934,
157,4.514488,0.004116,
158,13.13419,0.002927,
159,7.813975,0.006121,
160,12.68707,0.001506,
161,10.02598,0.004007,
162,12.22883,0.00261,
163,3.804779,0.008706,
164,12.84383,0.004659,
165,11.71986,0.002635,
166,7.353645,0.002651,
167,21.82527,0.006093,
168,10.50437,0.005813,
169,14.2582,0.002787,
170,6.666021,0.005045,
171,12.4964,0.00629,
172,8.328496,0.003741,
173,26.21286,0.015907,
174,9.164465,0.002594,
175,14.36327,0.002147,
176,5.684966,0.004689,
177,15.22353,0.003822,
178,12.81736,0.004421,
179,11.56663,0.004234,
180,8.355845,0.004744,
181,14.05695,0.005772,
182,17.29288,0.003568,
183,10.69147,0.009842,
184,14.64824,0.009141,
185,16.9288,0.004885,
186,3.865096,0.002303,
187,9.087236,0.005359,
188,23.87372,0.010139,
189,5.635473,0.00554,
190,15.53974,0.001898,
191,11.83637,0.004365,
192,13.21785,0.008709,
193,17.04862,0.005497,
194,6.228776,0.00849,
195,0.415817,0.065508,
196,12.70445,0.002058,
197,16.58427,0.007757,
198,14.85778,0.005512,
199,4.317334,0.002589,
200,14.39611,0.003956,
201,11.62836,0.005889,
202,4.233671,0.005248,
203,12.40845,0.003684,
204,7.644179,0.004259,
205,13.46967,0.004014,
206,10.44896,0.003053,
207,10.17414,0.00485,
208,12.56039,0.004759,
209,13.9485,0.003242,
210,14.48362,0.00493,
211,10.3387,0.003926,
212,9.629623,0.00251,
213,6.745146,0.005751,
214,4.965626,0.010934,
215,9.953015,0.002259,
216,7.96823,0.002601,
217,10.64115,0.002054,
218,3.725631,0.003208,
219,10.78488,0.003835,
220,4.766691,0.003872,
221,11.11034,0.005156,
222,3.504448,0.005294,
223,9.555373,0.005381,
224,7.806074,0.004357,
225,5.310196,0.00488,
226,11.54253,0.001125,
227,15.22959,0.002578,
228,10.65205,0.005563,
229,13.84708,0.002748,
230,5.959073,0.002432,
231,8.607975,0.001139,
232,10.95063,0.004005,
233,6.598082,0.004305,
234,13.69177,0.006289,
235,7.110418,0.005694,
236,9.090375,0.009794,
237,3.935404,0.004188,
238,6.632262,0.002896,
239,12.0056,0.04143,
240,7.747415,0.002423,
241,5.596498,0.005765,
242,13.83821,0.004883,
243,12.27485,0.001797,
244,11.4656,0.004471,
245,3.572887,0.003184,
246,9.24818,0.003472,
247,7.331035,0.004179,
248,15.87117,0.003974,
249,10.98348,0.003129,
250,13.04751,0.003636,
251,15.50765,0.002998,
252,9.954005,0.001924,
253,1.078075,0.004464,
254,20.64612,0.003656,
255,13.89904,0.008516,
256,8.885098,0.00419,
257,5.639142,0.003602,
258,9.084599,0.003274,
259,15.82354,0.005575,
260,4.641976,0.004643,
261,15.75171,0.003921,
262,8.971336,0.003333,
263,8.479775,0.007828,
264,9.576084,0.004792,
265,12.65384,0.004937,
266,12.74954,0.00365,
267,7.108883,0.009723,
268,10.31575,0.002761,
269,19.49375,0.003077,
270,10.13005,0.012928,
271,5.148301,0.004543,
272,22.88972,0.007116,
273,4.059031,0.004975,
274,23.86857,0.007707,
275,9.496614,0.003624,
276,6.168877,0.003327,
277,5.149322,0.003622,
278,11.42254,0.003631,
279,14.10038,0.003349,
280,6.335933,0.003421,
281,9.665266,0.001496,
282,0.71974,0.014823,
283,10.90896,0.004339,
284,9.013024,0.005384,
285,9.775189,0.007438,
286,10.34967,0.004156,
287,7.037254,0.006827,
288,13.37373,0.001596,
289,15.8029,0.013519,
290,11.26303,0.00429,
291,8.649847,0.03431,
292,6.233038,0.002489,
293,11.12239,0.002974,
294,5.629822,0.007753,
295,7.424911,0.0034,
296,9.534872,0.004687,
297,7.643411,0.010575,
298,9.415533,0.005375,
299,13.05537,0.003867,
300,11.85484,0.003881,
301,12.45923,0.002941,
302,13.80063,0.004106,
303,14.43432,0.010266,
304,5.984157,0.004008,
305,13.28314,0.005128,
306,5.392254,0.004815,
307,7.232348,0.004555,
308,13.8594,0.006183,
309,2.165607,0.004829,
310,17.16171,0.003935,
311,7.98581,0.003378,
312,4.573203,0.004168,
313,6.23679,0.005202,
314,8.693125,0.00496,
315,6.111252,0.005422,
316,6.767724,0.004479,
317,12.5345,0.006569,
318,11.33478,0.005031,
319,6.98459,0.009044,
320,12.25061,0.005296,
321,10.65603,0.001106,
322,10.13348,0.004109,
323,11.71007,0.006818,
324,17.35416,0.002448,
325,8.855539,0.005319,
326,10.95408,0.002849,
327,17.05284,0.006989,
328,9.142274,0.004083,
329,5.619395,0.004881,
330,12.03464,0.003444,
331,10.0551,0.00233,
332,2.035415,0.024128,
333,11.04536,0.005928,
334,8.942037,0.004831,
335,14.32391,0.004013,
336,9.022891,0.00267,
337,11.89564,0.004483,
338,1.390625,0.031608,
339,14.05603,0.003643,
340,12.60154,0.004988,
341,12.18104,0.002572,
342,8.094214,0.007039,
343,7.03173,0.006153,
344,10.08678,0.005942,
345,2.16548,0.033717,
346,6.671346,0.006356,
347,10.61764,0.004355,
348,1.502634,0.018284,
349,14.37776,0.00228,
350,11.93547,0.001764,
351,7.95931,0.002223,
352,14.3532,0.004679,
353,9.002387,0.003036,
354,4.564145,0.003798,
355,12.11661,0.003718,
356,4.609677,0.002862,
357,0.749964,0.034734,
358,6.268232,0.004855,
359,1.549366,0.005794,
360,11.03104,0.001078,
361,11.68601,0.00654,
362,5.693669,0.003809,
